Taxa,meanLPBL,LPBL_BLUP,meanUPBLog,UPBL_BLUP,meanRL,RL_BLUP,meanRD,RD_BLUP,family_ID
PR1314_2616,64.2777777766667,-17.5776974604419,3.8235294459245,-0.0399847125852284,229.333333325,-42.8451337843593,9.1666666675,0.618718582373938,SC35
PR1314_2617,67.83333333,-6.95141325706582,3.41224721773885,-0.139138908395102,247.3333333,-21.0056562822285,7.666666667,0.36200591456018,SC35
PR1314_2618,89.666666665,2.24344779808696,3.91100728930672,0.0532648534706963,297.16666665,16.6063801615128,12.416666665,3.35387492036306,SC35
PR1314_2619,89.933333334,3.07092662646631,3.79073328176331,-0.0538497572334662,300.36666666,20.9548655103257,9.0333333328,0.543733188730331,SC35
PR1314_2620,74.533333332,-9.56038598860578,3.99154311341056,0.106958032734735,295,16.1321467486245,7.4000000002,-0.875833901544868,SC35
PR1314_2621,105.866666646,16.1396872782765,4.11053595131374,0.220819613059079,274.26666666,-2.49972327913422,10.5999999994,1.90535876567015,SC35
PR1314_2622,92.933333328,5.53157193584991,4.01666146949238,0.127072721821514,323.5,39.685837681284,11.25000000075,2.37202392851732,SC35
PR1314_2623,84.1249999925,-1.62629265761077,3.89239492449277,0.0337673552223604,285.33333335,6.04414075138024,9.91666666675,1.22322465556315,SC35
PR1314_2624,109.133333334,18.8190566380175,4.06342682904187,0.164522253323691,338.13333334,54.8936255458817,9.8666666666,1.2680021130709,SC35
PR1314_2625,87.6250000075,1.12098065998718,3.5643235950633,-0.21648803984129,277,-1.25948505600043,9.91666666675,1.22322465556315,SC35
PR1314_2626,86.6,0.336876276691864,3.98558468761503,0.102186546816897,301.73333334,22.1830112954468,9.9333333334,1.32594362710158,SC35
PR1314_2627,85.133333334,-0.866105876421488,3.75598346357622,-0.0816772864865086,308.8,28.5334235798333,9.5,0.949323786597453,SC35
PR1314_2628,104.4583333175,14.3340570173013,3.96926114406585,0.0924015131652752,324.791666675,40.6268088728587,9.95833333325,1.25829076234716,SC35
PR1314_2629,71.5,-11.5360999334457,3.62491868589465,-0.170265627107794,225.75,-46.176783681557,9.91666666575,1.22322465472156,SC35
PR1314_2630,92.8750000075,5.24189061872305,3.99673510745087,0.113358868911171,300.66666665,19.4828121808688,10.083333334,1.36348908375116,SC35
PR1314_2631,81.625,-0.940049843093744,3.57958796457382,-0.18419169472852,242.5,-27.1403778161899,9.91666666825,1.63383869034185,SC35
PR1314_2632,92.400000006,5.09412388926923,3.94970758340192,0.0734562909741308,267.93333334,-8.19113050852833,11.5999999992,2.7744814742183,SC35
PR1314_2633,96.9999999925,8.47974843167001,3.85806523908274,0.00758040069743974,307.874999975,25.8004484843142,8.5833333335,0.10110923405663,SC35
PR1314_2634,51.583333335,-27.1693932676592,3.86516529644678,0.0129963803982691,239.8888889,-34.1520567068911,10.5555555543333,1.63247625186528,SC35
