Taxa,family_ID,meanLPBL,meanUPB,meanRL,meanRD
PR1314_1037,P898012,93.666666666,44.5429906552833,289,9.05555555533333
PR1314_1038,P898012,72.6,52.9119854921665,234.80000002,7.2666666668
PR1314_1039,P898012,64.666666668,50.4110860661585,241.06666666,8.2666666666
PR1314_1040,P898012,79.999999994,40.5356443032491,285.25,9.08333333325
PR1314_1041,P898012,60.4166666675,40.2418779742676,251,7.222222222
PR1314_1042,P898012,62.633333332,55.992682654012,236.3,9.6666666668
PR1314_1043,P898012,75.0833333325,70.6906555084618,252.26666668,8.4000000002
PR1314_1044,P898012,58.3333333325,59.2259150225169,232.916666675,7.16666666675
PR1314_1045,P898012,109.599999992,42.1217335617807,254.16666668,7.9
PR1314_1046,P898012,84.4583333325,37.1949630320439,287.625,8.3333333335
PR1314_1047,P898012,69.6250000025,48.3631460030587,278.1111111,9.222222222
PR1314_1048,P898012,61.133333332,34.5834883402551,234.86666666,7.0666666668
PR1314_1049,P898012,83.5,73.3768106478978,247.555555566667,8.666666667
PR1314_1050,P898012,69,34.5615024791014,274.444444433333,9
PR1314_1051,P898012,79.533333334,54.6124771620621,252.5,8.6666666666
PR1314_1052,P898012,43.5,33.6971204116993,179.76666668,7.4
PR1314_1053,P898012,65.266666668,38.8236234331088,260.833333325,9.29166666675
PR1314_1054,P898012,70.458333335,58.2789611277326,218.333333325,8.16666666675
PR1314_1055,P898012,60.233333334,44.3482774117081,202.06666666,8.6666666666
PR1314_1056,P898012,81.5,62.5,322.6666667,8.666666667
PR1314_1057,P898012,69.066666668,51.333879556783,204.2,8.8999999998
PR1314_1058,P898012,66.7,58.4532469900498,260.16666668,8.4
PR1314_1059,P898012,70.8,50.0003919104265,270.66666666,6.9333333332
PR1314_1060,P898012,87.666666664,68.0782938590944,255.19999998,7.7333333332
PR1314_1061,P898012,82.900000006,36.6270263231771,277.8,7.9333333334
PR1314_1062,P898012,75.0000000025,38.9376615132789,230.333333325,9.666666666
PR1314_1063,P898012,62.8750000025,55.4736344717154,195,8.25
PR1314_1064,P898012,61.5,32.4441837564867,247.750000025,8.91666666575
PR1314_1065,P898012,64.875,49.1391313770682,235.250000025,8.74999999975
PR1314_1066,P898012,66.2916666675,38.1849439963899,234.5,8.41666666675
PR1314_1067,P898012,49.6,34.6386509617046,219.33333334,7.0666666666
PR1314_1068,P898012,38.75,32.5806691169779,156.83333335,7
PR1314_1069,P898012,53.0555555533333,55.4942193430119,164.53333334,9.4666666666
PR1314_1070,P898012,86.766666672,54.4770442891207,239.89999998,8.6666666668
PR1314_1071,P898012,42.125,38.3589576116614,170.666666666667,8.77777777766667
PR1314_1072,P898012,59.666666665,56.9209978830308,324.6666667,8.666666667
PR1314_1073,P898012,49.833333334,43.8815902696088,184.40000002,8.7333333334
PR1314_1074,P898012,79.1,45.2033594341698,254.4,7.9333333334
PR1314_1075,P898012,73.16666666,33.0651834989812,241.83333335,7.8333333335
PR1314_1076,P898012,69.6666666666667,57.5151818764546,261.222222233333,9.55555555666667
PR1314_1077,P898012,69,40.7174081533596,279.458333325,9.91666666675
PR1314_1078,P898012,56.800000002,40.3483756126447,220.93333334,8.6333333332
